"kov","rahvaarv","maakond","syndide_arv","surnute_arv"
"Tallinn",453864,"Harjumaa",3560,"4463"
"Tartu linn",100724,"Tartumaa",823,"932"
"Narva linn",53875,"Ida-Virumaa",278,"795"
"Pärnu linn",52362,"Pärnumaa",367,"672"
"Kohtla-Järve linn",33675,"Ida-Virumaa",180,"516"
"Saaremaa vald",30191,"Saaremaa",272,"423"
"Saue vald",25370,"Harjumaa",251,"162"
"Rae vald",24276,"Harjumaa",317,"79"
"Viimsi vald",22472,"Harjumaa",196,"130"
"Viljandi linn",17353,"Viljandimaa",157,"189"
"Harku vald",17294,"Harjumaa",181,"105"
"Maardu linn",16750,"Harjumaa",102,"203"
"Valga vald",15864,"Valgamaa",99,"226"
"Rakvere linn",15614,"Lääne-Virumaa",111,"193"
"Elva vald",14863,"Tartumaa",119,"240"
"Kambja vald",13705,"Tartumaa",171,"79"
"Põlva vald",13534,"Põlvamaa",107,"157"
"Lääne-Harju vald",13462,"Harjumaa",126,"168"
"Rapla vald",13453,"Raplamaa",91,"167"
"Viljandi vald",13450,"Viljandimaa",122,"171"
"Haapsalu linn",13435,"Läänemaa",95,"191"
"Jõgeva vald",13122,"Jõgevamaa",107,"214"
"Sillamäe linn",12452,"Ida-Virumaa",55,"248"
"Tartu vald",12420,"Tartumaa",170,"72"
"Jõhvi vald",12351,"Ida-Virumaa",87,"175"
"Tori vald",12277,"Pärnumaa",141,"114"
"Võru linn",12055,"Võrumaa",88,"152"
"Saku vald",11510,"Harjumaa",141,"71"
"Tapa vald",11082,"Lääne-Virumaa",77,"216"
"Keila linn",10905,"Harjumaa",82,"147"
"Türi vald",10683,"Järvamaa",99,"184"
"Paide linn",10664,"Järvamaa",84,"144"
"Võru vald",10374,"Võrumaa",94,"154"
"Põltsamaa vald",9665,"Jõgevamaa",82,"173"
"Järva vald",8725,"Järvamaa",98,"137"
"Hiiumaa vald",8474,"Hiiumaa",64,"132"
"Lüganuse vald",8250,"Ida-Virumaa",37,"176"
"Põhja-Pärnumaa vald",8088,"Pärnumaa",69,"189"
"Kose vald",7754,"Harjumaa",84,"105"
"Põhja-Sakala vald",7748,"Viljandimaa",56,"134"
"Kohila vald",7726,"Raplamaa",68,"83"
"Märjamaa vald",7405,"Raplamaa",60,"114"
"Jõelähtme vald",7305,"Harjumaa",57,"71"
"Mulgi vald",7086,"Viljandimaa",48,"149"
"Lääne-Nigula vald",6961,"Läänemaa",71,"112"
"Vinni vald",6716,"Lääne-Virumaa",52,"79"
"Anija vald",6456,"Harjumaa",48,"71"
"Kiili vald",6391,"Harjumaa",83,"25"
"Otepää vald",6388,"Valgamaa",36,"95"
"Kuusalu vald",6380,"Harjumaa",53,"80"
"Räpina vald",6049,"Põlvamaa",35,"114"
"Tõrva vald",5862,"Valgamaa",49,"88"
"Rakvere vald",5859,"Lääne-Virumaa",47,"58"
"Viru-Nigula vald",5813,"Lääne-Virumaa",31,"122"
"Kastre vald",5718,"Tartumaa",94,"79"
"Väike-Maarja vald",5653,"Lääne-Virumaa",44,"115"
"Luunja vald",5612,"Tartumaa",78,"31"
"Kehtna vald",5454,"Raplamaa",42,"63"
"Raasiku vald",5284,"Harjumaa",46,"50"
"Lääneranna vald",5092,"Pärnumaa",39,"89"
"Peipsiääre vald",5059,"Tartumaa",45,"91"
"Mustvee vald",4952,"Jõgevamaa",25,"107"
"Rõuge vald",4865,"Võrumaa",23,"65"
"Kadrina vald",4799,"Lääne-Virumaa",31,"53"
"Häädemeeste vald",4677,"Pärnumaa",40,"57"
"Kanepi vald",4453,"Põlvamaa",49,"105"
"Saarde vald",4393,"Pärnumaa",20,"78"
"Toila vald",4310,"Ida-Virumaa",22,"58"
"Nõo vald",4289,"Tartumaa",38,"29"
"Narva-Jõesuu linn",4269,"Ida-Virumaa",22,"94"
"Antsla vald",4200,"Võrumaa",21,"66"
"Alutaguse vald",4176,"Ida-Virumaa",22,"89,0"
"Haljala vald",4072,"Lääne-Virumaa",25,"62"
"Setomaa vald",2823,"Võrumaa",16,"52"
"Loksa linn",2603,"Harjumaa",9,"59"
"Muhu vald",1640,"Saaremaa",11,"39"
"Kihnu vald",529,"Pärnumaa",6,"6"
"Vormsi vald",292,"Läänemaa",2,"4"
"Ruhnu vald",88,"Saaremaa",1,"2"
